UTC,Pack_count,IMUTemp,q0,q1,q2,q3,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate,AccX,AccY,AccZ,RealAccX,RealAccY,RealAccZ,PosX,PosY,PosZ,Long,Lat,Height,VelX,VelY,VelZ,RSSI,SNR,
22:47:26:37,10306,24.7969,0.99964  6.6722e-05   -0.002179    0.026843,0.0009406    -0.24981      3.0763,0.0053253  -0.0058441   0.0080566,0.80322    -0.36743   -0.035522,0.82666    -0.40918        9.75,0  0  0,24.78581      120.9973      144.6441,0.2983398    -0.5595703      144.6441,-44,6.25,
22:47:26:71,10307,24.7969,0.9995   0.0016896 -3.1144e-05    0.031528,0.19341  -0.0096714      3.6135,0.0048904   -0.024506   0.0094681,0.23071    -0.27197    0.093384,0.21826    -0.25195      9.8828,0  0  0,24.78581      120.9973       144.529,0.314209    -0.5244141       144.529,-44,6,
22:47:27:05,10308,24.7969,0.99937   0.0034759   0.0022318     0.03536,0.40711      0.2415      4.0537,-0.015839     0.14807    0.027451,-0.024063    -0.20203    -0.78467,-0.088623    -0.13708      9.0078,0  0  0,24.78581      120.9973      144.4573,0.3327637     -0.527832      144.4573,-46,5.75,
22:47:27:39,10309,24.7969,0.99921   0.0019149  -0.0017978    0.039567,0.21111    -0.21454      4.5348,0.00084257   0.0024033 -0.00011623,0.90088     0.57324      1.0186,0.984863     0.540039      10.8047,0  0  0,24.78582      120.9973       144.392,0.3566895    -0.5825195       144.392,-46,6.75,
22:47:27:73,10310,24.7969,0.99912   0.0023051  0.00088604    0.041846,0.26817     0.09039      4.7968,0.044159     0.16577   -0.037445,-0.8125    0.015617   -0.034515,-0.83887     0.13354        9.75,0  0  0,24.78582      120.9973      144.3252,0.3510742    -0.6108398      144.3252,-50,6.25,
22:47:28:07,10311,24.7969,0.9991    0.001103  -0.0022103     0.04226,0.11558     -0.2584      4.8439,0.087219   -0.081116   0.0041962,0.64893     -1.4639     -1.6289,0.56689     -1.4902      8.1641,0  0  0,24.78582      120.9973      144.2916,0.3608398    -0.6069336      144.2916,-54,6.5,
22:47:28:41,10312,24.7656,0.99893  0.00073281   0.0019041    0.046311,0.093989     0.21407       5.309,-0.034729   -0.073425  0.00083017,-0.31738    -0.97266    -0.50684,-0.43286    -0.92725      9.2813,0  0  0,24.78582      120.9973      144.2795,0.3723145    -0.5727539      144.2795,-56,6,
22:47:28:75,10313,24.7656,0.99876   0.0015036   0.0013337    0.049713,0.17968     0.14407      5.6993,0.052582    0.016754  -0.0040703,-0.47461     -1.4639    -0.82178,-0.64063      -1.376      8.9688,0  0  0,24.78583      120.9973      144.3011,0.3864746    -0.5981445      144.3011,-63,7,
22:47:29:08,10314,24.7656,0.99893   0.0037478   0.0015077     0.04602,0.43697     0.15282       5.276,0.19678   -0.016617   -0.061676,-0.5127    -0.65088    -0.84326,-0.5918    -0.51514      8.9531,0  0  0,24.78583      120.9973       144.345,0.4013672    -0.6396484       144.345,-53,6.5,
22:47:29:43,10315,24.7188,0.99936   0.0017934  -0.0010715    0.035643,0.201    -0.13003       4.085,-0.059692     -0.1886    -0.11578,-0.026855   -0.056793     0.51904,0.0131989   -0.0245361      10.3047,0  0  0,24.78583      120.9973      144.3795,0.3774414    -0.6538086      144.3795,-52,6.75,
