UTC	Pack_count	IMUTemp	q0	q1	q2	q3	Roll	Pitch	Yaw	RollRate	PitchRate	YawRate	AccX	AccY	AccZ	RealAccX	RealAccY	RealAccZ	PosX	PosY	PosZ	Long	Lat	Height	VelX	VelY	VelZ	RSSI	SNR
14:45:13:67	26781	30.2188	0.36353	0.41968	-0.60986	-0.56543	-112.5556	1.787763	0.002737045	-0.0077591	0.010178	0.002737	0.0056763	0.0032101	-0.00042152	-0.3103	9.7344	-0.9458	0	0	0	24.78578	120.9975	154.6017	-0.07983398	0.06488037	154.6017	-50	6.5
14:45:13:90	26782	30.2188	0.36353	0.41968	-0.60986	-0.56543	-112.5556	1.787763	0.003343582	-0.0070419	0.0090714	0.0033436	0.0038471	-0.0013151	-0.0038376	-0.30591	9.7344	-0.94482	0	0	0	24.78578	120.9975	154.5906	-0.07324219	0.06225586	154.5906	-50	6.5
14:45:14:12	26783	30.2188	0.36353	0.41968	-0.60986	-0.56543	-112.5556	1.787763	0.003131866	-0.0072212	0.0095749	0.0031319	0.0010691	0.0015764	9.35E-05	-0.30762	9.7422	-0.94092	0	0	0	24.78578	120.9975	154.5951	-0.07312012	0.06396484	154.5951	-50	6.25
13:09:22:21	556	26.6094	0.81104	-0.00080538	0.00082254	0.58447	71.5568	0.130466	-0.00500107	-0.00013447	0.0080566	-0.0050011	-0.0038223	0.0016394	0.0030842	-0.021973	0.00079823	9.7891	0	0	0	24.78623	120.9975	145.2184	-0.02420044	0.02857971	145.2184	-24	7
13:09:22:55	557	26.6094	0.81152	-0.00082541	0.00085163	0.58447	71.5241	0.134454	-0.00703812	-0.00089312	0.008934	-0.0070381	-0.0025082	0.0013533	0.0018148	-0.022614	-0.00061655	9.7891	0	0	0	24.78623	120.9975	145.2071	-0.02244568	0.02789307	145.2071	-24	6.5
13:09:22:89	558	26.6094	0.81152	-0.0008111	0.00082445	0.58398	71.4787	0.130999	-0.00380325	0.00022471	0.0068932	-0.0038033	-0.0066452	0.00076056	0.0242	-0.023743	0.0031338	9.8125	0	0	0	24.78623	120.9975	145.2391	-0.02342224	0.027771	145.2391	-24	6.5
13:09:23:23	559	26.625	0.81201	-0.00080442	0.00086164	0.58398	71.446	0.133954	-0.00408173	-0.00036621	0.0060539	-0.0040817	0.0065956	-0.0026035	-0.01062	-0.023071	-0.01001	9.7813	0	0	0	24.78623	120.9975	145.2482	-0.02250671	0.02711487	145.2482	-24	7
13:09:23:57	560	26.625	0.81201	-0.00078249	0.0008769	0.5835	71.4006	0.133938	-0.00819397	-0.00021362	0.0097275	-0.008194	0.014465	-0.009552	-0.012642	-0.027481	-0.019165	9.7734	0	0	0	24.78623	120.9975	145.2201	-0.02003479	0.02574158	145.2201	-24	6.5
13:09:23:90	561	26.625	0.8125	-0.00077581	0.00088358	0.58301	71.3225	0.134089	-0.00257301	-0.00017798	0.0052986	-0.002573	0.014565	-0.011017	-0.0087967	-0.028427	-0.019547	9.7813	0	0	0	24.78623	120.9975	145.2239	-0.01873779	0.02503967	145.2239	-23	6.5
13:09:24:24	562	26.625	0.8125	-0.00081253	0.00092077	0.58301	71.3225	0.140005	-0.00400925	-0.0003407	0.006424	-0.0040092	-0.0036259	0.00069761	0.0023403	-0.024307	0.0012407	9.7891	0	0	0	24.78623	120.9975	145.2345	-0.01670837	0.02513123	145.2345	-23	6.75
